,id,full_name,first_name,last_name,is_active
1041,1626183,Branden Dawson,Branden,Dawson,False
1042,201286,Eric Dawson,Eric,Dawson,False
1043,76542,Tony Dawson,Tony,Dawson,False
1044,103,Todd Day,Todd,Day,False
1045,201948,Austin Daye,Austin,Daye,False
1046,76543,Darren Daye,Darren,Daye,False
1047,1630620,Darius Days,Darius,Days,False
1048,201986,Nando De Colo,Nando,De Colo,False
1049,76545,Dave DeBusschere,Dave,DeBusschere,False
1050,692,Andrew DeClercq,Andrew,DeClercq,False
1051,1629602,Javin DeLaurier,Javin,DeLaurier,False
1052,76551,Nate DeLong,Nate,DeLong,False
1053,201942,DeMar DeRozan,DeMar,DeRozan,True
1054,76562,Hank DeZonie,Hank,DeZonie,False
1055,76544,Greg Deane,Greg,Deane,False
1056,1630466,Gabriel Deck,Gabriel,Deck,False
1057,203473,Dewayne Dedmon,Dewayne,Dedmon,False
1058,76546,Archie Dees,Archie,Dees,False
1059,143,Terry Dehere,Terry,Dehere,False
1060,76548,Red Dehnert,Red,Dehnert,False
1061,1626214,Bryce Dejean-Jones,Bryce,Dejean-Jones,False
1062,1626155,Sam Dekker,Sam,Dekker,False
1063,219,Vinny Del Negro,Vinny,Del Negro,False
1064,1627098,Malcolm Delaney,Malcolm,Delaney,False
1065,183,Bison Dele,Bison,Dele,False
1066,2568,Carlos Delfino,Carlos,Delfino,False
1067,1629116,Angel Delgado,Angel,Delgado,False
1068,960,Tony Delk,Tony,Delk,False
1069,203521,Matthew Dellavedova,Matthew,Dellavedova,False
1070,76552,Fennis Dembo,Fennis,Dembo,False
1071,76553,Larry Demic,Larry,Demic,False
1072,725,Dell Demps,Dell,Demps,False
1073,76555,George Dempsey,George,Dempsey,False
1074,2736,Luol Deng,Luol,Deng,False
1075,76556,Kenny Dennard,Kenny,Dennard,False
1076,76557,Blaine Denning,Blaine,Denning,False
1077,1641926,Dexter Dennis,Dexter,Dennis,False
1078,1642484,RayJ Dennis,RayJ,Dennis,True
1079,202458,Justin Dentmon,Justin,Dentmon,False
1080,76558,Randy Denton,Randy,Denton,False
1081,76559,Rod Derline,Rod,Derline,False
1082,1629094,Marcus Derrickson,Marcus,Derrickson,False
1083,76560,Dave Deutsch,Dave,Deutsch,False
1084,76561,Walter Devlin,Walter,Devlin,False
1085,76568,Ernie DiGregorio,Ernie,DiGregorio,False
1086,1628978,Donte DiVincenzo,Donte,DiVincenzo,True
1087,1631217,Moussa Diabate,Moussa,Diabate,True
1088,1629603,Mamadi Diakite,Mamadi,Diakite,False
1089,1760,Derrick Dial,Derrick,Dial,False
1090,1627767,Cheick Diallo,Cheick,Diallo,False
1091,1628977,Hamidou Diallo,Hamidou,Diallo,False
1092,2564,Boris Diaw,Boris,Diaw,False
1093,200821,Yakhouba Diawara,Yakhouba,Diawara,False
1094,200799,Guillermo Diaz,Guillermo,Diaz,False
1095,1641711,Gradey Dick,Gradey,Dick,True
1096,2424,Dan Dickau,Dan,Dickau,False
1097,2079,Kaniel Dickens,Kaniel,Dickens,False
1098,76563,Henry Dickerson,Henry,Dickerson,False
1099,1722,Michael Dickerson,Michael,Dickerson,False
1100,76564,Derrek Dickey,Derrek,Dickey,False
1101,76565,Dick Dickey,Dick,Dickey,False
1102,101143,Travis Diener,Travis,Diener,False
1103,203476,Gorgui Dieng,Gorgui,Dieng,False
1104,1631172,Ousmane Dieng,Ousmane,Dieng,True
1105,76566,Connie Dierking,Connie,Dierking,False
1106,76567,Coby Dietrick,Coby,Dietrick,False
1107,76569,Mickey Dillard,Mickey,Dillard,False
1108,76570,Bob Dille,Bob,Dille,False
1109,1642265,Rob Dillingham,Rob,Dillingham,True
1110,76571,John Dillon,John,Dillon,False
1111,76574,Byron Dinkins,Byron,Dinkins,False
1112,76575,Jackie Dinkins,Jackie,Dinkins,False
1113,76576,Bill Dinwiddie,Bill,Dinwiddie,False
1114,203915,Spencer Dinwiddie,Spencer,Dinwiddie,True
1115,101113,Ike Diogu,Ike,Diogu,False
1116,2205,DeSagana Diop,DeSagana,Diop,False
1117,76577,Terry Dischinger,Terry,Dischinger,False
1118,76578,Fred Diute,Fred,Diute,False
1119,124,Vlade Divac,Vlade,Divac,False
1120,2413,Juan Dixon,Juan,Dixon,False
1121,1059,Aleksandar Djordjevic,Aleksandar,Djordjevic,False
1122,76580,Earl Dodd,Earl,Dodd,False
1123,1720,Michael Doleac,Michael,Doleac,False
1124,76581,Joe Dolhon,Joe,Dolhon,False
1125,76582,Bob Doll,Bob,Doll,False
1126,76583,James Donaldson,James,Donaldson,False
1127,76584,Bob Donham,Bob,Donham,False
1128,76586,Billy Donovan,Billy,Donovan,False
1129,76585,Harry Donovan,Harry,Donovan,False
1130,1629029,Luka Dončić,Luka,Dončić,True
1131,2039,Keyon Dooling,Keyon,Dooling,False
1132,76587,Jacky Dorsey,Jacky,Dorsey,False
1133,201595,Joey Dorsey,Joey,Dorsey,False
1134,1628416,Tyler Dorsey,Tyler,Dorsey,False
1135,1629652,Luguentz Dort,Luguentz,Dort,True
1136,1630245,Ayo Dosunmu,Ayo,Dosunmu,True
1137,1628422,Damyean Dotson,Damyean,Dotson,False
1138,1629653,Devon Dotson,Devon,Dotson,False
1139,200763,Quincy Douby,Quincy,Douby,False
1140,76588,Bruce Douglas,Bruce,Douglas,False
1141,76589,John Douglas,John,Douglas,False
1142,76590,Leon Douglas,Leon,Douglas,False
1143,428,Sherman Douglas,Sherman,Douglas,False
1144,201962,Toney Douglas,Toney,Douglas,False
1145,201604,Chris Douglas-Roberts,Chris,Douglas-Roberts,False
1146,1629635,Sekou Doumbouya,Sekou,Doumbouya,False
1147,76592,Lloyd Dove,Lloyd,Dove,False
1148,202220,Zabian Dowdell,Zabian,Dowdell,False
1149,76593,Bill Downey,Bill,Downey,False
1150,76594,Steve Downing,Steve,Downing,False
1151,1630288,Jeff Dowtin Jr.,Jeff,Dowtin Jr.,True
1152,76595,Danny Doyle,Danny,Doyle,False
1153,1628495,Milton Doyle,Milton,Doyle,False
1154,1628408,PJ Dozier,PJ,Dozier,True
1155,76596,Terry Dozier,Terry,Dozier,False
1156,201609,Goran Dragic,Goran,Dragic,False
1157,204054,Zoran Dragic,Zoran,Dragic,False
1158,1068,Greg Dreiling,Greg,Dreiling,False
1159,1630929,Henri Drell,Henri,Drell,False
1160,1724,Bryce Drew,Bryce,Drew,False
1161,76598,John Drew,John,Drew,False
1162,76599,Larry Drew,Larry,Drew,False
1163,203580,Larry Drew II,Larry,Drew II,False
1164,17,Clyde Drexler,Clyde,Drexler,False
1165,1041,Nate Driggers,Nate,Driggers,False
1166,76603,Terry Driscoll,Terry,Driscoll,False
1167,1542,Predrag Drobnjak,Predrag,Drobnjak,False
1168,76604,Ralph Drollinger,Ralph,Drollinger,False
1169,203083,Andre Drummond,Andre,Drummond,True
1170,76623,Dennis DuVal,Dennis,DuVal,False
1171,1630537,Chris Duarte,Chris,Duarte,True
1172,1642505,Alex Ducas,Alex,Ducas,True
1173,76605,Dick Duckett,Dick,Duckett,False
1174,404,Kevin Duckworth,Kevin,Duckworth,False
1175,76607,Charles Dudley,Charles,Dudley,False
1176,201,Chris Dudley,Chris,Dudley,False
1177,201162,Jared Dudley,Jared,Dudley,False
1178,76608,Terry Duerod,Terry,Duerod,False
1179,76609,Bob Duffy,Bob,Duffy,False
1180,76610,Bob Duffy,Bob,Duffy,False
1181,2768,Chris Duhon,Chris,Duhon,False
1182,1626251,Duje Dukan,Duje,Dukan,False
1183,1630561,David Duke Jr.,David,Duke Jr.,True
1184,76611,Walter Dukes,Walter,Dukes,False
1185,247,Joe Dumars,Joe,Dumars,False
1186,30,Richard Dumas,Richard,Dumas,False
1187,434,Tony Dumas,Tony,Dumas,False
1188,76615,Andy Duncan,Andy,Duncan,False
1189,1495,Tim Duncan,Tim,Duncan,False
1190,2399,Mike Dunleavy,Mike,Dunleavy,False
1191,76616,Mike Dunleavy,Mike,Dunleavy,False
1192,1627739,Kris Dunn,Kris,Dunn,True
1193,76617,Pat Dunn,Pat,Dunn,False
1194,1642346,Ryan Dunn,Ryan,Dunn,True
1195,76618,T.R. Dunn,T.R.,Dunn,False
1196,2648,Ronald Dupree,Ronald,Dupree,False
1197,201142,Kevin Durant,Kevin,Durant,True
1198,1631105,Jalen Duren,Jalen,Duren,True
1199,76619,John Duren,John,Duren,False
1200,1090,Pat Durham,Pat,Durham,False
1201,76621,Devin Durrant,Devin,Durrant,False
1202,76622,Ken Durrett,Ken,Durrett,False
1203,1628979,Trevon Duval,Trevon,Duval,False
1204,76624,Jack Dwan,Jack,Dwan,False
1205,76625,Craig Dykema,Craig,Dykema,False
1206,76626,Gene Dyker,Gene,Dyker,False
1207,202406,Jerome Dyson,Jerome,Dyson,False
1208,289,Ledell Eackles,Ledell,Eackles,False
1209,76628,Jim Eakins,Jim,Eakins,False
1210,768,Acie Earl,Acie,Earl,False
1211,76630,Ed Earle,Ed,Earle,False
1212,203921,Cleanthony Early,Cleanthony,Early,False
1213,1631106,Tari Eason,Tari,Eason,True
1214,76631,Mark Eaton,Mark,Eaton,False
1215,76632,Jerry Eaves,Jerry,Eaves,False
1216,202365,Devin Ebanks,Devin,Ebanks,False
1217,76633,Bill Ebben,Bill,Ebben,False
